text,stars
dinner fantastic service great started corn soup tuna tartare shared filet scallop delicious entree didn realize steak came potato ordered two side mac cheese shishito pepper thought pepper really hot m whimp guess definitely come back,2
keep appointment time pretty efficient however disappointed think girl know going car tire guy helped told two front tire tread extremely low would needing two new tire month two told could show tire much would taken car discount tire told tread actually still really good many mile car told price two tire around 280 bought two new one couple month price bought two new tire tire pressure light came long honestly feel like tire even new look worth 280,0
met friend dinner tonight server brought u menu brought u couple coke didn come table 20 min trying get attention time walked decided order bartender received starter main time wing brisket mac cheese alright best point hadn seen server since brought food go bar napkin refill coke actually saw server hovered u put tip handheld credit card terminal food somewhere okay decent service somewhere piss poor terrible,0
another solid bbq place calgary definitely great place go craving something smokey delicious actually noticed place wandered walking downtown impossible miss lovely smokey bbq smell re block however look kind like hole wall entrance doesn look like updated year ok add character entire decor wood country include buffalo head wall downstairs live music weekend ok onto food couple time think comment menu pretty well friend ordered brisket catfish veggie burger mac n cheese cesar salad chili garlic fry review place based delicious garliciness fry would 5 star review hand mean seriously vampire beware everyone else enjoy plenty portion size huge go hungry prepared go box granted every time ve gone loved food much ate entire meal bet point time wondering giving place 4 star well everything amazing garlic fry bourbon apple fairly tasteless chili ok meat tough service ok however catfish delightful mac cheese delicious brisket quality specialty cocktail pretty good beer price pretty decent great place go long lunch dinner drink even weekend brunch vegetarian option menu ignore buffalo head wall believe even gluten free option well fairly good place go large group make sure call ahead like said earlier great place good time smokey flavor,2
day satisfy frozen yogurt craving kiwispoon get invited eat frozen yogurt piccadilly rare opportunity truly compare two yogurt place tried three flavor chocolate pumpkin caramel sea salt added topping brownie bit chocolate caramel turtle mochi overall liked yogurt better kiwispoon frozen yogurt seems le rich piccadilly flavor strong price per ounce marginally higher piccadilly definitely plus piccadilly yogurt though liked topping better thought mochi tasted better brownie piece bigger chocolate caramel turtle went great ice cream chocolate caramel turtle standard topping frozen yogurt ice cream place huge map cleveland height behind cash register feel like authentic neighborhood froyo joint,1
called number provided day showed residence inspection able advise multiple broken loose tile roof came day later completed repair quoted good price repair well complaint,2
party 3 ordered fish taco pork belly banh mi corn beef hash benedict bam ham everything delicious esp pork belly banh mi tender juicy baguette nicely toasted love crispy fish taco compliment chip salsa fresh super good crispy service excellent waitress great job checking u serving u really want food option m full next time visit definitely come back,2
dinner bellagio buffet last night service ok server great kind forgot u towards end visit food cold good thing crab leg re suppose cold taco freshly made food single lamp didn heat food let server know food cold told manager charge come ask problem said going talk chief idea actually happened though didn see half buffet closed well wasn many option must say rather go rio buffet high end casino horrible experience,0
really enjoyed visit everything visually appealing ambiance great food tasted amazing service complaint,2
flat fantastic twice croissant bomb wait try item new breakfast spot ahwahtukee service great well family run business come support,2
nice eating environment food quite nice native japanese style,2
note 1 visit breakfast lunch overall excellent high end buffet dessert section need little work highlight dip foccacia pizza chimichurri sauce best pizza ll ever prime rib excellent hate crab leg general everyone else say great really fresh cooky must try cooky got lucky grabbed white chocolate macadamia cooky still warm crispy side chewy mouth wateringly good mean stuffed beyond belief couldn stop eating get breakfast time try portuguese sausage breakfast food really worth avoid gelato bar look good texture like soft serve dairy queen hate disappointed shrimp pad thai served ice cold gross,2
year surgery sac wish could turn back time promise great thing butcher body left body alone bad perfect often talk ruined good body never forget dirty nasty slipper coming operating room run room,0
unique place great find waitress funny knowledgable fantastic job food amazing definitely return recommend restaurant couple,2
best wonton soup ever delicious food great service chicken satay roti c wonton soup fried noodle shrimp dish definitely back,2
ve never experienced discrimination last night place 2 female dress heel place diverse far everyone dressed dress heel jean flip flop short etc immediately noticed large group people particular race coming back line going inside thought nothing assumed list got weird noticed guy working door walking back fourth scanning line people would pull let go inside every time happened group caucasian people 4 caucasian girl front u behind group 4 black male girl pulled line taken door go inside talk list guy told must list leave guy left watched happen quite time gave removed line standing front really long time acknowledgement guy working door funny thing didn make big announcement must list get inside walking particular group telling low tone would leave know wasn dressed looked letting people jean flip flop ultimately let bouncer side door nothing special going picky let inside like night suite safe say never step foot place,0
dinner food excellent service couldn better thanks jose back sure,2
absolutely love place ve many time never fails impress bff burger unreal tsoynamis cupcake amazing everything pretty much best,2
write review chinese restaurant look english name popular didn try recently bubble tea really good pricier rose tea get like noodle pork sauce ve tried thin wide thick noodle wide le chewy kind sticky prefer thin dish dan dan noodle different expecting friend liked okay noodle wonton flavorless soup dumpling good amazing ve never give try probably like d like try noodle beef soup next time appetizer pricy opinion won pay 6 small plate vegetable owner nice guy enjoyed chatting little bit dinner,2
went saturday dinner 2 1 coupon price 37 two people good deal large space open layout time year ago ate mostly crab leg prime rib provide self serve drink area think good flag staff get drink want ve situation unlimited alcohol wine beer bar area bartender working bunch tv watch get update game wouldn go way mirage hungry d eat another 2 1 coupon wouldn spend full retail price eating buffet strip better price point,1
took kid hang fine 72 degree sunny saturday february going bridge coming aliante casino cant miss nice view waterfall forefront park bad playground nice thing vouch playground nice fenced little area decent amount playground equipment swing slide table bench like soft material playground equipment built sand lot area dinosaur bone prop day went playground packed kid running went slide kid actually waiting get swing decided walk around check rest park see duck everywhere especially pond nice waterfall going unfortunately nice stuff end everywhere path walking green duck crap brings question kind spray force field playground duck green duck crap anywhere playground im curious many people would actually spread blanket picnic grass crap well review im starting get grossed thinking day carefully trying step crap going car made mental note make sure mention green crap saw review hesitate mentioning everybody know either making plan coming thinking thing positive think come diet seeing green crap probably wont much appetite definitely get exercise trying avoid stepping stuff yeah im worried coming back place time soon lifetime think lol maybe duck,0
reason frequent paul ace big name home depot lowes personalized assistance big name brand provide yes bit level paul ace hardware tempe need help ready willing help every aspect project store manager bra personally went way assist gathering material needed current project know store bounced around show option seemed recommendation project guy must love know everything store constant yourselfer always pleased help receive thankful place neighborhood,2
need burger closest location work wasn typical fast food joint always like chose signature burger opted spicy cajun burger combo d beer battered ring jones strawberry lime soda small location even smaller patio maybe 8 bar stool cramped balcony look onto charles street definitely sit outside grab seat luckily patio vacant late afternoon topping spicy cajun burger avocado jalapeã â o lettuce jalapeã â o havarti tomato cajun spice smokey chipotle honey mayo ample topping burger enjoyed avocado burger overall spicy good kick sliced jalapeã â o meat grilled perfectly tasted average found small compared bun bun soft tasted good didn hold burger topping end left lot bun burger beer battered onion ring thick batter ring golden brown crunchy filling drink jones strawberry lime soda yummy sour good balance overall prompt friendly service quaint little patio average burger good quick fix satisfying burger craving,1
sadly place sold gas price sky rocketed long term staff gone lottery gone run popular cigarette tried get gas day ago vendor delivery truck park side street side parked pump going give little time see get better going store 15 year doesn shape find another,0
easily entering top 3 restaurant charlotte visit pork belly unreal amazing prime ny strip bourbon butter jam phenomenal,2
good didn make 5 star due price bit high amount food location bit unsavory decor atmosphere surprisingly nice outside expected run inside staff nice surprised empty dining room friday evening got vegetable samosa start ordered chicken tikka masala lamb rogan josh rice plain naan complaint lamb could ve tender everything flavorful delicious would definitely go given chance,2
employee busy chatting employee head drive thru window talking people entire time cook come outside made food hand making food,0
random hole wall located park rd shopping center never heard fateful st patrick day another beer order making way enjoying patio decided food next venture second alcohol visit excited taste vegetarian option grilled cheese spicy asparagus portobello let tell grilled cheese amazing add interesting touch becomes addicting happy sandwich tasty appetizer goat cheese fritter red wine sauce goat cheese favorite frying anything make better love ther service great accomadate large group time ve 7 20 people great staff awesome menu choice ll going back,2
lady beware ever take machine 35th ave sew vac northern broke elna machine repaired ve spent 10 000 store year long time customer bill owner son rude nothing resolve broken machine disgusted bill owner daughter wouldn thing help repair man broke machine terrible bring nice sewing machine repaired people broke possession want damm thing like big screw won buy another thing people way treated even material priced m market another machine won go ever machine still need taken care still resolved issue still broken happened repairman servicing machine wish never taken machine 35th ave sew vac shop cant people take ownership responsibility mistake go king sewing machine much better service dont break machine,0
great tanning salon near clean equipped latest tech easy checkin spot short yet amazing relaxation sunbathing time chilli cleveland going obsessed place winter recharge vitamin d,2
th service hit miss sometimes staff personable attentive time ask come staff often gtfoh stamp placed permanently across forehead patron go otherwise deemed guy would say continuo visit great hh several option close home food drink option choose think today may last visit,0
great cocktail good food overall first class restaurant,2
took wife birthday dinner daughter 12 16 14 alfonsos heard food good waitress dawn good even busy problem waitress staff rude gift card certificate pay dinner minute big blond waitress came said loud rude tone couldn cause needed spend 100 00 order get 50 00 insulted saying table around could hear couldn read fine print telling requirement gift card showed certificate fine print legible told sorry fault walked away second thought going back gift card may give away toss,0
company tried deliver flower home son home called keep phone opened front door security screen door locked though told gal going open door mom phone asked driver call mom driver insistent getting signature became argumentative son kept saying call mom phone kept interrupting insistent signature told son close door called company spoke manager sara understood concern said would make sure driver trained situation three day pas still flower phone call called spoke sara completely different tone previously curt tried give lot excuse asked owner call five day later ve never received call back owner flower called find owner would call back linda told would friday meant six day later initial request told linda pretty unreasonable told owner busy several business opinion completely unacceptable favor order company unprofessional concerned customer service,0
heard place dying check put m glad decent beer selection kind hipster vibe 8 loaded hot dog tater tot got best deal town ton unique topping pick delicious dipping sauce tot secret fry sauce fav early problem getting seat bar see prime time live music could kind tight re going food get earlyu loaded dog would super hard eat standing,2
received mailer thought okay let go walked monday afternoon greeted bartender wearing cute shirt said bar baby cute however never got name looked menu asked good said club ordered yes good beer club white toast served fry watched sport center really felt ease good music playing go back,2
met old close friend dinner portofino great intimate dinning class excellent pasta meat dish delightful service great drink come back,2
company hosted dinner award night hotel last night experience best could imagined working kristine cole fantastic communication always point walked blown away set compliment food night came work today flooded email impressed everyone presentation staff help u great believe tim charge anna gentleman made u laugh gave u privacy needed back recommending everyone,2
yes boba tea explosion full force lee lee international supermarket chandler many time never noticed little gem next couple year ago boba tea house serving best boba tea valley long became big thing fantastic array flavor drink choice choose like fruit slush snow milk tea pudding mango jelly coffee jelly etc even snack like popcorn chicken fried tofu fry staff super friendly price reasonable still laugh friend idea boba tea afraid suck chewy ball thing lol case didn know boba tea flavored tea usually milk chewy tapioca ball fruit jelly added think super delicious today got blueberry milk boba tea made perfect snack middle day another favorite mine honeydew milk tea,2
yum kale grit would definitely menu choice unique farm fresh delicious,2
stumbled upon ice cream store seeing high review yelp went high expectation first price fairly high considering size cone cup almost 4 small scoop pretty overpriced opinion flavour little creative traditional ice cream store marginally creamier noah pretty neat different ingredient mixed well worth price hot summer day lineup note tiny store fit dozen people expect sit inside enjoying ice cream,1
ooooooh yummy m red meat eating midwestern girl 9 best steak remember know long damn good mac cheese tasty tasty side try snicker dessert basically two cookie ice cream sanwiches bit snicker more sister got super fun complaint really loud waaaaaaay many annoying veil toting bachelorette party taste hey palm,2
dreadful service ve jimmy john several year ago minneapolis apparently phoenix store personnel must trained differently take sandwich back counter twice get thick headed folk working camelback 16th get sandwich way wanted asked 10 hunter club veggie got standard 10 hunter club lettuce tomato seeing took back counter explained wanted veggie explained veggie sandwich came carefully explained wanted veggie guy said oh want freebie would thought would clarified ordered whether wanted everything came sandwich freebie well said yes wanted freebie veggie took revised sandwich sat eat find along veggie requested piled italian vinaigrette dijon mustard want,0
burger phenomenal galley boy melt mouth paired potato teaser milkshake like heaven earth,2
got stuck myrtle beach last week stayed waiting another flight clean comfortable right near airport would definitely stay,2
1 advertised vegetarian dinner price paid really would liked nice cut meat 2 way priced dinner 2 2 blue moon beer 1 10 glass wine 165 tip tipped 25 server great experience eating dark pretty interesting experience 3 food meh would okay everything else food outstanding really wasn probably ate 3 bite dinner entree taste different ingredient far savory could even pasta something couple dry tasted like hush puppy would impressed little told server didn enjoy would offered try others didn make big deal like said really nice dessert literally saving grace gave 2 star server experience dark honest incase others go expecting non vegetarian meal ready 200 vegetarian dinner like review facebook page block commenting people talking crap handle truth allow others put,0
first food delicious far favorite restaurant downtown phoenix tried many different thing menu never disappoints saturday night special prime rib horseradish dauphinoise potato favorite second service amazing ian favorite waiter request every time personable good sense humor constantly checking make sure everything good much made experience arrogant butcher memorable,2
least pink concession stand section 3 unqualified server tell won take cash seriously won take cash manager wouldn even take cash another register line stupid long worker incapable handling slightest issue m sitting upstairs next time come knight game,0
wonderful experience sat outside patio watched food channel listened music going menu great conversation country guest patio good place kid patio drown even loudest child need food great bite spot waited 20 minute table 8 peak dinner hour 7 8 server quick greet u get drink table ordered sashimi wonton taco sausage cheese dip pretzel wrapped pepperoni tuna fresh wonton greasy wasabi sauce enough zing enough power tuna pretzel cheese dip nice hot pretzel sprinkled parmesan cheese crisp entree big enough serve two people beef brisket beef short rib pork rib caesar salad bacon cheese burger packed flavor caesar salad come huge garlic crouton daughter cut finish sausage cheese dip caesar dressing fresh corn bread macaroni cheese side tasty ordered cheesecake dessert large enough party 8 left asked server put pretzel fudge sauce potato chip side instead top stomach sensitive may want ask various sauce side isn place miss food spicy dance happy tongue tummy people may much good thing,2
told many great thing place entire experience awful food wasn good way greasy fry luke warm tray literally covered grease needed 50 napkin shower service pretty awful believe paid 14 small meal extra fixing national cheeseburger day day disappointment ve never gone back since best thing soda pretty difficult mess,0
came midnight launch psvr previously told another employee week prior get 6 01pm get six extra system weren pre ordered first come first serve ended able get system came yesterday woman behind counter told written name number people wanted day prior accounted previous employee even told first person asked organized told employee customer could put name psvr could gotten system last night illiminate chance getting system gamestop made late go department store stock far away line already forming location happy,0
place quite possibly favorite restaurant phoenix favorite chicken scarpariello pizza sangria wife decide four dish daughter love penne ala vodka lasagna ravioli mario son work hard please ve never bad meal ve seen bend backwards try take care obvious jerk plus top local school invited local pizza place present class making pizza recycling issue mario came talked kid adult place treated marketing event brought coupon get idea good neighborhood gem,2
dr k dr b together agape team caring professional thorough knowledgeable dr k dr b holistically bring health well back balance treat individual injury visit carefully tailored current state need,2
man love toronto hiding strip mall overlea find dingy looking restaurant serf fantastic cheap kabob warned regardless come ll likely waiting table place always overrun people re fan perfectly grilled spicy meat must try place ve need limit many time go per month take drive kabob car borrow get zipcar membership totally worth,2
today first time seeing staff bella smile great experience although m currently living la vega plan coming back checkup problem may arise wait time whatsoever without drop pain discomfort manager severn accommodating getting business family friend town,2
ve taken kid several time ve never wait 5 minute go right sign usually call u back right m done signing paperwork doctor always super nice daughter stitch done nervous wreck staff tried hard make comfortable gave stuffed toy done nice wish would open bit earlier day otherwise re great,2
crappier marriotts ve ever stayed staff nice professional enough fact right frontage road along 17 tend attract seedier crowd three floor worth room guess many washer dryer everyone crappy washer crappy dryer even think washing clothes friday night two hour period went see washer finally available time met yet another load dirty clothes inside afford get machine consider installing number ticket dispenser thought maybe would better shot washing clothes considered sitting top washer load done would kind creepy part packing dirty clothes never come back,0
beer beer beer definitely low key nieghborhood bar towner enjoyed felt like pittsburgh version cheer except grimier unfortunately kitchen close fairly early weekday otherwise place may received another star,1
love crust pizza sauce decent cheese okay pepperoni best quality friend ordered everything slice said good wished cheese topping hold together,2
normally give restaurant least 3 star long good food however group quite disappointed restaurant granted expecting lot italian restaurant venetian think fine expectation eating price first changed reservation said could accommodate time clearly shouldn seated folding table hallway next restaurant quite literally food court next kiosk selling trinket tourist whatever ambiance restaurant might offer mystery shouldn switched reservation wasn possible accommodate change fault wouldn blame know threw table together table chair looked different rest one set front restaurant side like expected pay lot venetian expected blown away would preferred dining several place walked way paid 17 spaghetti carbonara tasty well balanced sauce decent amount pancetta however finished whole thing finish entree olive garden price ate piece bread friend ordered chicken kabob know sold italian restaurant single kabob perhaps 4 5 piece chicken 4 5 vegetable bed rice cost 25 absolutely outrageous top told waiter celebrating birthday said ok expected would receive dessert customary received nothing course waiter didn seem keen giving u time day know expected remember birthday,0
m familiar scottsdale m guessing restaurant fairly new atmosphere great lively loud huge wine drink list food really good highly recommend ahi tuna appetizer ravioli skirt steak,2
good morning cocktail wait oh vega dining best dieting place literally definition excess good way m sucker benedict awesome service really great staff welcoming first stop landing really appreciate service back hawaii reminds zippys anna miller home feeling price bit high get totally worth remember place ever return vega future,2
hand best bloody mary ever many thing bm veggie mmm bacon nailed appetizer burger fry knew fry could good presentation doesn disappoint ether nice great seating outside although sat inside would love see restaurant near hometown seriously get bm rock guy,2
charged twice expected pay guy counter small talked asked wanted additional insurance said initialed told noticing thing initialed collision waiver insurance need ended doubling original cost walk additional cost may even purposely misleading distracting small talk experienced traveler nothing like happened returned car expressed surprise doubled cost essentially said well signed worth anyway never rent payless,0
quiet bar grill great waitress margarita pizza good small sign front almost missed place,2
came said would job amount time said would take amount said would cost sold exactly needed hopefully keep basement flooding didn try sell bunch thing didn need subsequently quote 1 3 waterproofing guy m willing bet basement stay dry long thanks nick crew o donnells,2
first yelp restaurant soo good felt compelled yelp went dinner friend mine really nice space staff amazing chef even came table cool food well think even discerning top chef judge would impressed across board tenderloin mac cheese well tomato two way excellent choice wait go back cielo kudos,2
